@relation ProteinFoldsPFRES

@attribute pcvA numeric
@attribute pcvR numeric
@attribute pcvN numeric
@attribute pcvD numeric
@attribute pcvC numeric
@attribute pcvQ numeric
@attribute pcvE numeric
@attribute pcvG numeric
@attribute pcvH numeric
@attribute pcvI numeric
@attribute pcvL numeric
@attribute pcvK numeric
@attribute pcvM numeric
@attribute pcvF numeric
@attribute pcvP numeric
@attribute pcvS numeric
@attribute pcvT numeric
@attribute pcvW numeric
@attribute pcvY numeric
@attribute pcvV numeric
@attribute sscC numeric
@attribute sscE numeric
@attribute sscH numeric
@attribute dssC numeric
@attribute dssE numeric
@attribute dssH numeric
@attribute adssCCC numeric
@attribute adssCCE numeric
@attribute adssCCH numeric
@attribute adssCEC numeric
@attribute adssCEE numeric
@attribute adssCEH numeric
@attribute adssCHC numeric
@attribute adssCHE numeric
@attribute adssCHH numeric
@attribute adssECC numeric
@attribute adssECE numeric
@attribute adssECH numeric
@attribute adssEEC numeric
@attribute adssEEE numeric
@attribute adssEEH numeric
@attribute adssEHC numeric
@attribute adssEHE numeric
@attribute adssEHH numeric
@attribute adssHCC numeric
@attribute adssHCE numeric
@attribute adssHCH numeric
@attribute adssHEC numeric
@attribute adssHEE numeric
@attribute adssHEH numeric
@attribute adssHHC numeric
@attribute adssHHE numeric
@attribute adssHHH numeric
@attribute length numeric
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
1,8,23,19,28,12,14,14,7,15,4,15,4,7,22,12,12,4,5,23,0.4922,0.5078,0,4,6,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,g
9,11,21,21,0,7,8,0,3,15,12,15,8,7,7,12,9,3,13,11,0.3298,0.5106,0.1596,2,5,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94,l
7,16,4,2,7,20,6,12,10,13,5,17,7,5,9,15,23,2,3,18,0.5,0.5,0,5,7,0,0,1,0,1,2,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,g
7,10,10,5,7,7,23,0,2,17,8,19,4,8,27,12,12,0,1,18,0.4882,0.4488,0.063,4,7,0,0,0,0,1,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,g
7,8,12,4,1,11,0,20,12,15,9,9,8,21,17,4,12,9,19,16,0.646,0.093,0.261,15,4,8,2,1,2,3,0,1,5,0,0,2,0,1,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,387,w
6,34,17,14,5,7,19,3,27,10,8,10,5,7,2,10,12,0,9,15,0.5538,0.4462,0,6,6,0,0,1,0,2,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,g
2,2,3,33,2,18,23,10,7,19,15,12,19,18,20,10,3,6,3,20,0.3793,0.5776,0.0431,4,7,0,0,0,0,2,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,g
8,8,6,9,5,15,19,10,4,24,12,17,11,2,28,3,11,0,2,25,0.4752,0.5248,0,4,6,0,0,1,0,1,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,g
0,14,14,29,0,16,2,7,12,23,20,10,5,12,18,2,2,7,10,20,0.622,0.378,0,7,6,0,0,1,0,3,1,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,164,h
14,8,4,17,0,8,6,5,2,6,24,4,14,11,33,6,10,10,0,6,0.6611,0.2556,0.0833,8,4,1,1,1,1,2,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,180,h
22,4,6,20,2,13,13,0,4,20,34,6,25,1,9,4,7,0,0,12,0.3738,0.1729,0.4533,4,3,8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,2,1,1,0,214,p
37,9,8,10,0,12,21,4,4,8,5,10,11,1,34,5,3,1,17,11,0.5437,0,0.4563,3,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,103,b
7,11,8,30,7,14,28,14,8,8,4,4,5,6,20,1,2,28,23,10,0.5306,0.0995,0.3699,12,5,10,0,0,3,1,0,0,1,4,2,2,0,3,0,0,0,0,0,0,1,1,1,4,0,0,2,0,0,392,p
23,9,7,23,0,7,14,0,8,15,14,5,5,10,8,9,9,44,14,24,0.4847,0.3061,0.2092,5,8,3,0,0,1,1,1,0,1,1,0,0,2,1,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,196,r
2,11,12,15,4,12,20,7,2,14,14,12,14,9,17,11,13,1,3,11,0.4032,0.2903,0.3065,7,5,3,0,0,1,0,2,1,2,0,0,1,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,186,l
20,13,4,14,2,3,14,8,1,19,12,18,6,10,8,5,1,11,11,10,0.5038,0.1288,0.3674,9,4,8,0,0,2,0,0,1,1,2,1,0,0,1,0,0,0,2,1,0,3,1,0,1,0,2,1,0,0,264,r
7,15,30,11,8,3,6,5,9,9,13,15,9,12,21,14,3,23,9,2,0.4091,0.5379,0.053,5,8,1,0,0,0,1,3,0,1,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,132,g
11,2,12,37,0,0,5,4,15,14,14,2,7,3,12,12,18,13,17,12,0.6272,0.3728,0,8,9,0,0,1,0,3,3,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,h
7,1,7,24,0,4,14,17,14,2,17,5,6,7,40,2,8,0,10,8,0.6616,0.2576,0.0808,9,5,1,0,1,0,5,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,198,h
13,1,13,18,6,33,34,1,18,6,5,4,23,6,4,10,11,10,6,5,0.3947,0.1316,0.4737,5,2,3,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,114,c
8,1,22,11,12,8,14,12,5,10,7,9,8,0,1,10,24,2,8,26,0.6875,0.3125,0,7,4,0,2,1,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,h
14,1,23,12,11,10,7,12,12,3,1,6,0,1,13,18,16,3,9,17,0.7317,0.2683,0,5,4,0,0,1,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,h
14,36,10,5,0,7,6,8,8,19,11,28,12,0,8,19,7,9,11,18,0.2321,0.0357,0.7321,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,c
19,0,16,9,3,0,2,8,0,8,8,0,1,13,29,19,27,1,2,17,0.5281,0.4719,0,3,5,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,g
17,10,9,7,3,4,6,7,1,11,5,11,13,12,8,11,14,3,9,11,0.4581,0.4525,0.0894,6,8,2,0,1,0,2,2,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,179,n
11,17,12,8,1,15,7,10,14,12,10,11,27,10,17,15,10,0,9,13,0.4825,0.3596,0.1579,5,5,1,0,1,0,0,2,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114,l
5,20,20,14,4,10,9,12,8,4,2,8,1,7,50,2,7,4,22,4,0.6432,0.278,0.0788,9,7,1,0,2,0,3,2,0,1,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,g
5,18,8,15,12,6,12,6,1,6,5,21,3,25,5,8,9,9,23,6,0.5219,0.0746,0.4035,13,3,14,1,0,3,0,0,0,5,2,1,0,0,0,0,0,1,1,0,1,3,0,6,0,1,1,2,0,0,456,p
23,4,13,24,3,9,10,0,4,18,15,10,15,6,16,11,8,0,7,17,0.4224,0.1552,0.4224,5,2,7,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,3,0,0,232,p
22,7,3,13,0,11,10,5,0,16,8,12,6,6,9,6,10,1,4,12,0.2277,0,0.7723,2,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,101,d
6,0,9,35,0,11,27,2,8,16,11,9,10,17,4,11,17,0,6,17,0.4094,0.152,0.4386,7,2,6,0,0,1,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,171,v
4,5,28,10,2,9,19,12,9,10,1,3,3,19,18,10,11,4,9,16,0.5357,0.4643,0,6,5,0,0,1,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,g
7,7,29,11,2,14,29,4,7,8,1,7,5,16,22,10,20,0,11,9,0.4911,0.5089,0,4,7,0,0,0,0,1,2,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,112,g
6,8,9,8,8,7,21,10,4,15,4,8,5,13,45,7,6,1,3,22,0.4434,0.5566,0,5,5,0,0,1,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,g
8,8,21,18,14,17,16,6,10,13,6,10,9,8,38,4,6,0,6,12,0.5943,0.4057,0,7,6,0,0,1,0,4,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,g
1,13,23,21,33,6,10,27,15,2,5,7,3,11,9,8,1,0,9,3,0.7,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-
6,14,6,0,1,4,0,28,4,19,17,11,14,8,21,9,13,0,2,18,0.3537,0.0976,0.5488,4,1,8,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,0,1,164,t
8,8,8,19,0,9,22,15,13,15,3,9,1,11,8,7,21,2,7,19,0.5109,0.337,0.1522,4,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,92,y
25,7,12,23,0,23,16,2,0,1,9,6,4,29,21,13,3,2,5,11,0.5083,0.4917,0,5,7,0,0,0,0,2,2,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,g
7,9,15,19,0,3,22,10,17,18,1,21,7,10,9,10,19,0,5,18,0.5701,0.2804,0.1495,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,107,y
14,9,12,22,0,5,19,7,3,25,15,16,7,16,0,3,7,10,5,12,0.3607,0.1324,0.5068,2,3,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,3,0,1,1,219,p
13,2,8,7,0,6,19,8,3,14,20,6,5,8,19,11,9,0,0,36,0.4906,0.5094,0,5,6,0,0,1,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,g
8,9,21,9,0,11,13,2,7,12,6,9,5,3,27,22,23,0,5,25,0.5263,0.4737,0,4,4,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,g
13,6,7,19,8,11,11,2,15,17,15,8,9,11,9,13,17,0,2,16,0.1849,0,0.8151,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,119,d
0,33,5,25,3,3,19,8,18,18,10,7,20,0,13,2,13,6,12,27,0.5387,0.1662,0.2951,11,7,7,0,0,1,2,0,0,5,2,0,0,2,3,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,349,w
4,23,7,16,0,17,17,1,7,28,13,24,7,2,12,7,7,0,0,12,0.3211,0,0.6789,3,0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,109,c
11,18,19,11,15,13,17,4,27,10,15,13,2,7,2,8,11,9,3,16,0.482,0.4892,0.0288,6,9,0,0,0,0,3,2,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,g
8,6,4,4,5,15,18,10,0,25,13,17,12,4,16,7,15,0,2,31,0.4592,0.5408,0,5,6,0,0,1,0,3,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,g
3,7,3,20,3,13,28,6,10,14,19,14,15,11,31,17,5,0,4,15,0.405,0.5785,0.0165,3,7,0,0,0,0,1,2,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,121,g
4,8,2,15,54,7,12,19,13,2,10,15,7,9,3,10,5,14,13,0,0.697,0.1818,0.1212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,-
12,14,16,3,0,16,4,5,0,11,18,9,13,0,8,13,15,2,0,8,0.5683,0.306,0.1257,9,7,2,0,2,0,4,1,0,0,1,0,1,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,183,i
1,4,12,6,0,19,23,11,11,14,13,9,22,17,3,4,9,20,21,11,0.3288,0.1233,0.5479,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,73,c
9,30,19,5,0,13,8,5,2,7,10,21,6,15,6,8,9,10,10,5,0.321,0,0.679,2,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,81,c
10,12,10,5,7,12,3,13,19,4,17,2,7,26,17,25,11,0,16,9,0.6034,0.3966,0,7,8,0,1,0,0,1,3,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174,j
11,4,10,15,5,17,8,20,8,6,6,3,6,7,22,9,14,0,5,6,0.6077,0.3923,0,6,5,0,0,2,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,g
4,5,27,19,35,7,14,16,14,18,5,3,1,0,9,5,11,2,0,13,0.8372,0.1628,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-
0,10,9,15,36,5,11,18,9,9,7,13,4,1,8,1,0,11,4,8,0.6923,0.1282,0.1795,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,-
1,12,10,21,36,14,21,12,1,4,8,18,4,0,8,5,2,0,0,2,0.6765,0.3235,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,-
10,15,0,3,12,10,17,25,13,25,9,12,5,10,0,2,9,3,13,25,0.3672,0.2031,0.4297,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,128,s
9,3,26,21,0,16,10,7,12,9,9,9,4,22,19,13,14,8,18,10,0.6213,0.1436,0.2351,17,8,7,1,2,0,5,1,1,6,0,0,1,1,3,1,0,0,1,0,0,1,3,3,0,0,0,0,0,0,404,w
9,3,6,8,1,0,0,21,0,14,16,7,3,11,9,19,7,0,4,29,0.5217,0.1359,0.3424,8,3,5,0,1,0,1,0,0,3,2,0,0,0,3,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,184,t
10,13,16,26,2,8,11,0,5,16,13,14,19,5,17,10,10,0,6,18,0.4047,0.1628,0.4326,4,4,7,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,1,0,2,1,1,0,215,p
12,0,20,22,8,3,4,37,12,9,2,0,3,6,0,18,13,22,3,8,0.7355,0.2375,0.027,17,11,1,3,3,0,7,1,0,0,1,0,4,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,518,i
5,1,3,13,0,22,17,10,5,9,14,0,7,2,17,19,23,0,0,22,0.4825,0.5175,0,4,7,0,0,0,0,2,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,g
5,12,16,17,2,6,16,7,19,32,22,16,18,0,10,6,10,0,10,12,0.2522,0,0.7478,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,115,c
5,6,12,22,2,8,14,4,5,19,4,3,15,16,26,6,19,6,6,27,0.4324,0.2523,0.3153,5,3,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,111,z
1,16,10,10,10,11,9,18,9,16,19,15,14,2,8,15,18,0,9,10,0.5913,0.058,0.3507,11,1,10,0,0,1,1,0,0,6,0,2,0,0,1,0,0,0,0,0,0,1,1,5,0,0,0,2,0,0,345,p
11,24,9,9,22,19,15,3,17,8,12,13,10,14,20,11,6,6,7,9,0.4043,0.0142,0.5816,5,0,5,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,141,e
13,18,6,14,1,2,15,22,8,12,13,5,4,12,16,10,5,2,5,16,0.4791,0.2372,0.2837,7,4,5,0,0,0,0,1,1,4,0,0,0,1,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,215,q
1,19,20,14,27,9,10,11,1,4,4,25,6,0,8,5,4,0,0,5,0.875,0.125,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-
2,24,14,17,7,18,30,2,0,13,9,23,7,33,5,7,7,7,10,10,0.4232,0.3444,0.2324,7,10,4,0,0,0,5,1,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,0,241,l
10,22,0,2,7,8,7,23,8,15,21,22,15,7,9,16,14,10,6,17,0.3377,0.1325,0.5298,6,2,6,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,1,1,0,0,151,t
2,0,5,26,17,3,24,14,1,20,15,5,13,8,9,3,12,1,7,18,0.6032,0.1263,0.2705,15,6,11,0,0,2,1,1,0,7,2,1,2,0,2,2,0,0,0,0,0,0,2,5,1,1,0,1,0,0,499,q
9,5,13,29,0,12,19,7,5,4,18,13,2,10,18,10,17,0,3,5,0.4436,0.2556,0.3008,4,5,3,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,133,u
0,12,14,16,40,6,12,0,2,4,8,18,4,9,16,2,0,25,7,2,0.6364,0.0606,0.303,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,-
37,5,7,9,5,4,7,10,13,6,14,10,17,8,1,6,20,0,7,14,0.4263,0.1684,0.4053,5,5,6,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,2,2,0,1,1,1,0,0,2,0,0,0,190,s
2,13,1,12,50,13,17,5,0,4,6,17,10,3,0,5,6,24,6,6,0.3333,0,0.6667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-
2,5,11,15,14,5,16,14,10,19,6,10,11,13,17,2,6,6,20,29,0.3452,0.5238,0.131,2,5,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,84,l
5,10,3,12,0,23,24,6,7,16,14,12,7,1,7,5,1,10,4,11,0.2833,0.1167,0.6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,60,c
11,29,9,10,4,30,26,0,17,9,17,21,5,14,0,0,3,19,19,4,0.375,0.0833,0.5417,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,72,c
21,16,2,15,0,23,26,10,2,10,17,18,5,10,6,7,4,6,10,2,0.3651,0.0635,0.5714,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,63,c
21,15,5,7,1,14,21,5,9,16,19,13,8,12,6,4,7,3,10,12,0.2881,0.1356,0.5763,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,c
11,19,0,2,13,1,7,19,5,18,9,21,11,14,15,17,19,2,10,27,0.3979,0.0995,0.5026,4,1,7,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,191,t
10,7,9,20,0,6,8,11,9,11,10,14,3,1,36,15,15,6,5,11,0.5895,0.4105,0,5,5,0,0,1,0,2,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,g
2,7,13,14,2,14,23,2,15,13,11,21,6,6,24,9,11,5,8,10,0.4133,0.5333,0.0533,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,75,g
36,3,5,15,0,9,11,6,17,3,9,6,0,0,23,19,20,0,1,12,0.6602,0.3398,0,6,4,0,1,1,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,g
20,12,2,19,0,9,12,1,14,12,22,0,20,12,40,5,9,2,3,11,0.5,0.1392,0.3608,14,6,8,0,0,2,4,0,0,5,2,0,1,2,3,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,316,w
9,8,11,6,1,14,1,0,9,9,6,12,5,24,10,18,19,2,13,10,0.4462,0.5538,0,7,9,0,0,0,0,4,2,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,i
11,22,8,5,4,4,10,13,9,17,17,13,11,16,9,10,9,1,26,6,0.4533,0.28,0.2667,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75,u
15,32,5,2,0,23,20,10,2,11,18,20,11,13,15,3,4,1,0,8,0.4276,0.1138,0.4586,7,2,11,0,0,0,0,0,0,4,2,1,0,0,2,0,0,0,0,0,0,0,0,5,2,0,0,1,0,1,290,p
9,11,9,22,1,18,14,25,10,12,11,7,0,12,9,10,3,12,12,17,0.4587,0.4128,0.1284,4,6,1,0,0,0,3,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109,k
3,10,4,17,0,6,18,14,0,13,2,10,4,24,13,4,9,3,8,21,0.4912,0.5088,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,k
6,6,3,8,12,14,13,11,5,12,16,10,5,18,24,20,20,4,3,12,0.5093,0.4907,0,3,5,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,g
4,16,7,4,33,10,2,21,18,9,6,10,4,10,16,4,10,0,3,10,0.52,0.21,0.27,4,1,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,u
13,11,1,23,12,11,10,2,0,18,22,2,8,8,13,18,11,2,8,23,0.4179,0.2537,0.3284,4,4,4,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,134,r
10,14,3,8,30,9,12,6,0,15,6,16,3,6,5,10,5,13,7,14,0.3611,0.3611,0.2778,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,-
16,6,5,6,8,16,16,6,16,19,12,9,23,14,3,21,17,0,13,13,0.38,0,0.62,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,100,f
2,4,4,8,5,12,7,29,28,18,22,3,9,6,15,3,21,14,11,13,0.4275,0.1294,0.4431,9,4,8,0,0,2,1,0,0,2,2,1,1,0,2,0,0,0,1,0,0,1,1,2,1,0,1,1,0,0,255,w
12,6,5,24,4,7,20,12,0,7,6,13,3,20,0,12,9,2,9,3,0.4286,0,0.5714,7,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,147,f
7,3,0,2,10,10,14,8,10,18,21,7,11,1,15,12,7,0,2,15,0.5158,0.4842,0,5,6,0,0,0,0,3,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,g
7,28,8,6,12,19,15,4,18,8,10,9,8,18,12,7,11,13,14,9,0.3475,0,0.6525,5,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,141,e
0,13,15,13,0,20,14,4,15,5,6,28,4,5,11,14,13,0,31,5,0.4842,0.4,0.1158,3,5,1,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,95,l
8,12,6,9,3,22,6,0,11,10,0,23,4,9,9,11,1,26,28,17,0.6205,0.0671,0.3124,17,2,11,1,0,5,0,0,0,7,2,1,0,0,2,0,0,0,0,0,0,4,0,3,2,0,0,1,0,0,477,p
8,1,6,14,0,9,11,14,8,11,6,12,5,6,9,2,15,26,33,10,0.5849,0.2767,0.1384,6,4,2,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,159,h
10,20,17,10,1,16,20,2,1,16,31,12,17,2,5,0,1,0,0,24,0.4098,0.1475,0.4426,3,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,122,r
9,19,4,14,2,1,4,19,13,7,17,6,2,7,24,1,4,2,9,12,0.4412,0.2574,0.3015,2,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,136,q
9,19,20,11,1,18,15,7,30,12,7,16,1,1,4,10,16,12,1,13,0.4493,0.1401,0.4106,5,3,6,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,2,0,0,0,1,2,1,0,1,0,0,0,207,t
8,3,5,27,3,4,8,3,28,16,12,0,14,17,16,12,9,8,5,9,0.5714,0.07,0.3585,12,1,11,0,0,1,1,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,1,0,1,357,p
9,14,2,12,4,8,14,21,36,11,14,7,12,4,11,1,6,13,12,13,0.5872,0.3853,0.0275,3,5,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,g
6,7,20,9,36,10,10,10,2,5,5,15,3,9,8,15,6,0,3,3,0.6765,0.2353,0.0882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,-
9,10,13,8,1,13,8,23,0,27,3,10,1,10,2,20,12,2,0,26,0.5939,0.3706,0.0355,8,8,1,2,1,1,2,0,0,1,0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,197,n
5,16,3,12,50,7,8,6,0,7,11,16,9,2,6,6,5,1,5,6,0.6296,0.2222,0.1481,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-
